Freq,A_tsys
350,2.5
355,2.6    
360,2.7    
365,2.7    
370,2.7    
375,2.7    
380,2.7    
385,2.7    
390,2.7    
395,2.8    
400,2.8    
405,2.8    
410,2.9    
415,3.0    
420,3.1    
425,3.2    
430,3.2    
435,3.3    
440,3.3    
445,3.4    
450,3.4    
455,3.5    
460,3.5    
465,3.5    
470,3.6    
475,3.6    
480,3.6    
485,3.7    
490,3.8    
495,3.8    
500,3.8    
505,3.9    
510,4.0    
515,4.0    
520,4.1    
525,4.2    
530,4.3    
535,4.3    
540,4.3    
545,4.3    
550,4.3    
555,4.3    
560,4.4    
565,4.5    
570,4.5    
575,4.6    
580,4.7    
585,4.8    
590,4.9    
595,5.0    
600,5.1    
605,5.2    
610,5.2    
615,5.2    
620,5.3    
625,5.3    
630,5.4    
635,5.4    
640,5.5    
645,5.5    
650,5.6    
655,5.6    
660,5.6    
665,5.7    
670,5.7    
675,5.7    
680,5.7    
685,5.7    
690,5.8    
695,5.8    
700,5.8    
705,5.7    
710,5.7    
715,5.6    
720,5.6    
725,5.7    
730,5.8    
735,6.0    
740,6.1    
745,6.1    
750,6.2    
755,6.3    
760,6.3    
765,6.3    
770,6.4    
775,6.4    
780,6.3    
785,6.2    
790,6.2    
795,6.1    
800,6.0    
805,6.0    
810,6.1    
815,6.1    
820,6.1    
825,6.2    
830,6.3    
835,6.3    
840,6.3    
845,6.3    
850,6.4    
855,6.4    
860,6.3    
865,6.3    
870,6.3    
875,6.3    
880,6.2    
885,6.2    
890,6.1    
895,6.1    
900,6.1    
905,6.1    
910,6.1    
915,6.1    
920,6.1    
925,6.2    
930,6.2    
935,6.2    
940,6.2    
945,6.2    
950,6.2    
955,6.2    
960,6.2    
965,6.1    
970,6.1    
975,6.0    
980,5.8    
985,5.7    
990,5.6    
995,5.5    
1000,5.4    
1005,5.3    
1010,5.2    
1015,5.1    
1020,5.1    
1025,5.0    
1030,5.0    
1035,4.9    
1040,4.9    
1045,4.8    
1050,4.8